Tenure Months,Monthly Charges,Total Charges,CLTV,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn Label_Yes,churn_prob,Churn,customer_value,monthly_charges,tenure,expected_roi,risk_level
72,114.05,8468.2,4842,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,0.0024823192310346257,0,4842,114.05,72,0.0,Low
8,100.15,908.55,5157,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,0.008585898044208654,0,5157,100.15,8,0.0,Low
41,78.35,3211.2,2894,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,0.0031526252322588376,0,2894,78.35,41,0.0,Low
18,78.2,1468.75,2831,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0077657078322888404,0,2831,78.2,18,0.0,Low
72,82.65,5919.35,4324,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,0.0018632668786868103,0,4324,82.65,72,0.0,Low
21,99.85,1992.55,2113,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,0.010904046012945931,0,2113,99.85,21,0.0,Low
21,99.15,1956.4,5324,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0.006721548896257984,0,5324,99.15,21,0.0,Low
19,24.1,439.2,2378,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,0.0023947220036807304,0,2378,24.1,19,0.0,Low
61,19.75,1311.6,6108,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,0.00022456831747196524,0,6108,19.75,61,0.0,Low
17,45.05,770.6,3797,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.9976490136073904,1,3797,45.05,17,759.4000000000001,High
70,106.05,7554.05,4583,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,0.002780621451248253,0,4583,106.05,70,0.0,Low
72,114.85,8317.95,4796,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,0.003161509670969328,0,4796,114.85,72,0.0,Low
49,30.2,1453.1,5214,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.004412094343891013,0,5214,30.2,49,0.0,Low
11,84.8,906.85,5118,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,0.9975552523713808,1,5118,84.8,11,1023.6,High
19,48.8,953.65,3749,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0025265984291912634,0,3749,48.8,19,0.0,Low
72,84.5,6130.85,6202,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,0.0013599612353440663,0,6202,84.5,72,0.0,Low
8,19.5,159.35,5206,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,0.0016542277615168007,0,5206,19.5,8,0.0,Low
15,91.0,1430.05,4602,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.00569166759454063,0,4602,91.0,15,0.0,Low
67,105.7,6816.95,5027,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,0.004688989986702064,0,5027,105.7,67,0.0,Low
26,35.4,978.6,2519,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0.00490669588578184,0,2519,35.4,26,0.0,Low
2,74.85,156.4,5378,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,0.9977146542178278,1,5378,74.85,2,1075.6000000000001,High
21,28.5,629.35,3766,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.008363705405999105,0,3766,28.5,21,0.0,Low
49,20.05,923.1,5579,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.0010861286754727877,0,5579,20.05,49,0.0,Low
21,19.8,350.1,3243,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.0011990985683606058,0,3243,19.8,21,0.0,Low
51,69.15,3649.6,5187,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0034746645407205856,0,5187,69.15,51,0.0,Low
16,54.55,825.1,3324,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.008373442254571047,0,3324,54.55,16,0.0,Low
22,89.25,1907.85,3161,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,0.9973946963701079,1,3161,89.25,22,632.2,High
13,102.25,1359.0,2003,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,0.9977438823302852,1,2003,102.25,13,400.6,High
43,25.1,1070.15,4797,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,0.0007333343591993533,0,4797,25.1,43,0.0,Low
3,89.45,240.45,3591,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,0.9982319699302699,1,3591,89.45,3,718.2,High
54,90.05,4931.8,5232,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0.007164693080282726,0,5232,90.05,54,0.0,Low
1,24.2,24.2,4276,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.007833981569987169,0,4276,24.2,1,0.0,Low
69,20.55,1403.1,5366,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0.00025370432370888147,0,5366,20.55,69,0.0,Low
62,23.4,1429.65,5822,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,0.0006033084215377186,0,5822,23.4,62,0.0,Low
2,90.4,168.2,4157,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,0.9980899209475336,1,4157,90.4,2,831.4000000000001,High
62,96.1,6019.35,5868,False,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,0.002455129173844196,0,5868,96.1,62,0.0,Low
2,44.95,85.15,5900,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0.9968860947533689,1,5900,44.95,2,1180.0,High
69,19.9,1356.7,6058,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,0.00020946820285337918,0,6058,19.9,69,0.0,Low
1,74.5,74.5,2016,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.9986383324813193,1,2016,74.5,1,403.20000000000005,High
31,55.25,1715.65,2933,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,0.9952321973792594,1,2933,55.25,31,586.6,High
69,20.3,1356.3,4042,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,0.0004445723380579284,0,4042,20.3,69,0.0,Low
2,91.45,171.45,4889,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.011987569507743429,0,4889,91.45,2,0.0,Low
33,70.4,2406.1,4860,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.00739333243218742,0,4860,70.4,33,0.0,Low
3,19.6,55.25,2941,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,0.006186337367349529,0,2941,19.6,3,0.0,Low
44,65.4,2774.55,5827,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,0.0017928257373296794,0,5827,65.4,44,0.0,Low
10,110.1,1043.3,5803,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,0.9946373880545195,1,5803,110.1,10,1160.6000000000001,High
8,75.25,576.7,2332,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.016033966567632355,0,2332,75.25,8,0.0,Low
8,66.65,520.95,3804,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.008100096468890169,0,3804,66.65,8,0.0,Low
69,20.35,1442.65,5188,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0.00025954140585480003,0,5188,20.35,69,0.0,Low
23,75.6,1758.6,2115,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9974960115690644,1,2115,75.6,23,423.0,High
66,25.1,1697.7,6025,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,0.0003983069383873957,0,6025,25.1,66,0.0,Low
1,102.45,102.45,4811,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,0.9974307588632931,1,4811,102.45,1,962.2,High
3,19.95,58.0,5949,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,0.0037063646069711077,0,5949,19.95,3,0.0,Low
5,51.0,286.8,2789,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.004358488747424241,0,2789,51.0,5,0.0,Low
1,51.2,51.2,3699,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0035707354401625603,0,3699,51.2,1,0.0,Low
9,77.65,714.15,3847,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0.9980987624837975,1,3847,77.65,9,769.4000000000001,High
36,63.7,2188.5,2504,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,0.00203534875493596,0,2504,63.7,36,0.0,Low
68,85.5,5696.6,4380,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0015530656621992316,0,4380,85.5,68,0.0,Low
35,40.9,1383.6,5691,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.00148445401061251,0,5691,40.9,35,0.0,Low
60,20.55,1205.05,4020,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,0.00026610685307763496,0,4020,20.55,60,0.0,Low
72,74.55,5430.65,4703,False,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,0.0004888836851751292,0,4703,74.55,72,0.0,Low
45,20.4,930.45,5398,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,0.9797986115627956,1,5398,20.4,45,1079.6000000000001,High
37,91.2,3247.55,5263,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,0.0022007379743408783,0,5263,91.2,37,0.0,Low
7,50.7,350.35,3097,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0033642367950870488,0,3097,50.7,7,0.0,Low
4,50.7,151.3,4930,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.9963408474183166,1,4930,50.7,4,986.0,High
